title,apply_status,education_category,edu_date,capacity,fee,edu_content,apply_start,apply_end
복지재정 바로알고 바로쓰기,접수진행중,보건복지교육,교육승인일로 부터    21일,500,무료,"['1차시 복지재정누수실태와 정부정책 INTRO', '1차시 복지재정누수실태와 정부정책 생각해보기', '1차시 복지재정누수실태와 정부정책 학습목표', '1차시 복지재정누수실태와 정부정책 누수 실태', '1차시 복지재정누수실태와 정부정책 복지부정의 수법과 특징', '1차시 복지재정누수실태와 정부정책 복지부정 방지', '1차시 복지재정누수실태와 정부정책 재무회계규칙', '1차시 복지재정누수실태와 정부정책 평가하기', '1차시 복지재정누수실태와 정부정책 정리하기', '1차시 복지재정누수실태와 정부정책 참고문헌', '1차시 복지재정누수실태와 정부정책 OUTRO', '2차시 복지 보조금 부정수급 사례 INTRO', '2차시 복지 보조금 부정수급 사례 생각해보기', '2차시 복지 보조금 부정수급 사례 학습목표', '2차시 복지 보조금 부정수급 사례 보조금 부정수급', '2차시 복지 보조금 부정수급 사례 바우처 부당이용 사례', '2차시 복지 보조금 부정수급 사례 지원금 부정수급 사례', '2차시 복지 보조금 부정수급 사례 사무장병원 부정수급', '2차시 복지 보조금 부정수급 사례 평가하기', '2차시 복지 보조금 부정수급 사례 정리하기', '2차시 복지 보조금 부정수급 사례 참고문헌', '2차시 복지 보조금 부정수급 사례 OUTRO', '3차시 인건비 후원금품 부정사례 INTRO', '3차시 인건비 후원금품 부정사례 생각해보기', '3차시 인건비 후원금품 부정사례 학습목표', '3차시 인건비 후원금품 부정사례 인건비 부당수령', '3차시 인건비 후원금품 부정사례 횡령사례', '3차시 인건비 후원금품 부정사례 후원금품 횡령', '3차시 인건비 후원금품 부정사례 후원금품 편취 사례', '3차시 인건비 후원금품 부정사례 평가하기', '3차시 인건비 후원금품 부정사례 정리하기', '3차시 인건비 후원금품 부정사례 참고문헌', '3차시 인건비 후원금품 부정사례 OUTRO', '4차시 촘촘한 관리감독 청렴한 시설운영 INTRO', '4차시 촘촘한 관리감독 청렴한 시설운영 생각해보기', '4차시 촘촘한 관리감독 청렴한 시설운영 학습목표', '4차시 촘촘한 관리감독 청렴한 시설운영 시설 지도감독 부정 유형', '4차시 촘촘한 관리감독 청렴한 시설운영  운영금 부정 사례', '4차시 촘촘한 관리감독 청렴한 시설운영 운영금 부정 사례', '4차시 촘촘한 관리감독 청렴한 시설운영 복지재정 바로쓰기', '4차시 촘촘한 관리감독 청렴한 시설운영 평가하기', '4차시 촘촘한 관리감독 청렴한 시설운영 정리하기', '4차시 촘촘한 관리감독 청렴한 시설운영 참고문헌', '4차시 촘촘한 관리감독 청렴한 시설운영 OUTRO']",2024-02-01 , 2024-12-13
"보건의료, 미래 선도하는 취업 JOB GO!",접수진행중,보건복지교육,교육승인일로 부터    21일,500,무료,"['보건의료, 미래 선도하는 취업 JOB GO! ']",2024-02-01 , 2024-12-13
보건복지인의 셀프 동기부여,접수진행중,보건복지교육,교육승인일로 부터    21일,500,무료,"['보건복지인의 셀프 동기부여', '보건복지인의 셀프 동기부여1']",2024-02-01 , 2024-12-13
보건복지인을 위한 문제해결능력향상,접수진행중,보건복지교육,교육승인일로 부터    21일,500,무료,"['1차시 창의적 문제해결 강의열기 인트로', '1차시 창의적 문제해결 강의열기 학습목표', '1차시 창의적 문제해결 강의열기', '1차시 창의적 문제해결 강의열기 퀴즈', '1차시  창의적 문제해결 강의열기 정리하기', '1차시 창의적 문제해결 강의열기 아웃트로', '2차시 문제해결과 정보분석 스킬I 인트로', '2차시 문제해결과 정보분석 스킬I 학습목표', '2차시 문제해결과 정보분석 스킬I', '2차시 문제해결과 정보분석 스킬I 퀴즈', '2차시 문제해결과 정보분석 스킬I 정리하기', '2차시 문제해결과 정보분석 스킬I 아웃트로', '3차시 문제해결과 정보분석Ⅱ 인트로', '3차시 문제해결과 정보분석Ⅱ 학습목표', '3차시 문제해결과 정보분석', '3차시 문제해결과 정보분석Ⅱ 퀴즈', '3차시 문제해결과 정보분석Ⅱ 정리하기', '3차시 문제해결과 정보분석Ⅱ 아웃트로', '4차시 창의적 문제해결의 원천 뇌 인트로', '4차시 창의적 문제해결의 원천 뇌 학습목표', '4차시 창의적 문제해결의 원천 뇌', '4차시 창의적 문제해결의 원천 뇌 퀴즈', '4차시 창의적 문제해결의 원천 뇌 정리하기', '4차시 창의적 문제해결의 원천 뇌 아웃트로', '5차시 창의적 문제해결역량 향상을 위한 Tools 인트로', '5차시 창의적 문제해결역량 향상을 위한 Tools 학습목표', '5차시 창의적 문제해결역량 향상을 위한 Tools', '5차시 창의적 문제해결역량 향상을 위한 Tools 퀴즈', '5차시 창의적 문제해결역량 향상을 위한 Tools 정리하기', '5차시 창의적 문제해결역량 향상을 위한 Tools 아웃트로']",2024-01-25 , 2024-12-13
보건복지 종사자를 위한 공문서 작성 기술,접수진행중,보건복지교육,교육승인일로 부터    21일,500,무료,"['공문서 이해와 작성 기준 파악_인트로', '공문서 이해와 작성 기준 파악_오늘의 고민 상담', '공문서 이해와 작성 기준 파악_학습목표', '공문서 이해와 작성 기준 파악_공문서 개념, 기능', '공문서 이해와 작성 기준 파악_문서 작성 기준과 기안문 작성 유의 사항', '공문서 이해와 작성 기준 파악_꿀팁 한 페이지', '공문서 이해와 작성 기준 파악_정리하기', '공문서 이해와 작성 기준 파악_아웃트로', '작성 기준 적용과 전형적인 문서 작성 실습_인트로', '작성 기준 적용과 전형적인 문서 작성 실습_오늘의 고민 상담', '작성 기준 적용과 전형적인 문서 작성 실습_학습목표', '작성 기준 적용과 전형적인 문서 작성 실습_공문서 작성 기준 적용 실습 ', '작성 기준 적용과 전형적인 문서 작성 실습_꿀팁 한 페이지', '작성 기준 적용과 전형적인 문서 작성 실습_정리하기', '작성 기준 적용과 전형적인 문서 작성 실습_아웃트로', '보고서 구성과 표기·표현_인트로', '보고서 구성과 표기·표현_오늘의 고민 상담', '보고서 구성과 표기·표현_학습목표', '보고서 구성과 표기·표현_보고서 종류와 논리 구조', '보고서 구성과 표기·표현_주제에 맞는 보고서 구성 방법', '보고서 구성과 표기·표현_꿀팁 한 페이지', '보고서 구성과 표기·표현_정리하기', '보고서 구성과 표기·표현_아웃트로', '논리 구조와 표기·표현 기준에 따른 보고서 작성 실습_인트로', '논리 구조와 표기·표현 기준에 따른 보고서 작성 실습_오늘의 고민 상담', '논리 구조와 표기·표현 기준에 따른 보고서 작성 실습_학습목표', '논리 구조와 표기·표현 기준에 따른 보고서 작성 실습_보고서 논리 구조에 따른 구성 실습', '논리 구조와 표기·표현 기준에 따른 보고서 작성 실습_표기·표현 기준 적용 실습', '논리 구조와 표기·표현 기준에 따른 보고서 작성 실습_꿀팁 한 페이지', '논리 구조와 표기·표현 기준에 따른 보고서 작성 실습_정리하기', '논리 구조와 표기·표현 기준에 따른 보고서 작성 실습_아웃트로']",2024-01-18 , 2024-12-13
2023 민간일자리 훑어보기,접수진행중,직업교육,교육승인일로 부터    21일,500,무료,"['취업시장 이해', '분야별 민간일자리 이해, 민간일자리 지원 준비']",2023-09-08 , 2024-12-31
도보배달원 교육(활용법),접수진행중,직업교육,교육승인일로 부터    21일,500,무료,"['도보배달 시장의 특징', '도보배달 분석 및 앱 다운 활용법, 스마트폰으로 길찾기 및 실습']",2023-09-08 , 2024-12-31
안전사고 예방,접수진행중,공공일자리 교육,교육승인일로 부터    21일,500,무료,['노인일자리 참여자 안전사고 예방 워크북 안내 영상'],2023-06-01 , 2025-12-31
인권 교육,접수진행중,공공일자리 교육,교육승인일로 부터    21일,500,무료,"['인권을 돌려다오~', '평화를 돌려다오~', '웃음을 돌려다오~']",2023-06-01 , 2025-12-31
성희롱 예방교육,접수진행중,공공일자리 교육,교육승인일로 부터    21일,500,무료,"['언어적 성희롱', '시각적 성희롱', '육체적 성희롱']",2023-06-01 , 2025-12-31
안전 교육,접수진행중,공공일자리 교육,교육승인일로 부터    21일,500,무료,"['안전송 트로트', '안전 사고 예방', '시설물 사고 예방', '작업 안전 사고 예방', '골절 안전 사고 예방', '교통사고 예방', '운전사고 예방', '대중교통사고 예방', '계절성 안전 예방', '재난성 안전 예방', '감염병 안전 에방', '식중독 안전 예방']",2023-06-01 , 2025-12-31
노인일자리 사례로 배우는 안전사고 예방교육,접수진행중,공공일자리 교육,교육승인일로 부터    21일,500,무료,"['안전사고 예방교육 들어가기', '낙상사고 사례 및 대처방법', '보행 이동 시 사고 사례 및 대처방법', '화상, 부딪힘/깔림, 베임 등 기타 유형 사고 사례 및 대처방법', '자연재해로 인한 사고 및 대처 방법', '상해의 종류 및 응급처치 방법']",2023-06-01 , 2025-12-31
