,Educational Center Name,Purpose of Education,Education Start Date,Education End Date,Education Time,Attendance Qualification,Classroom Information,Education Amount,Material Amount,Capacity,Recruitment Start Date,Recruitment End Date,Age Eligibility,Sex Eligibility,Education Status,Education Sequence
32,"[2030 청년취업교육] 8.23(화) “최종 합격으로 가는 이기는 면접(공기업,사기업 면접편)”",,2022-08-23,2022-08-23,13:30~16:30,화요일,*유튜브 라이브방송*,무료,(재료비 무료),150,2022-07-14,2022-08-23,20세 ~ 39세,성별 제한없음,교육마감,1000002422
33,[4060세대 심화교육] “노동시장 정보와 최근 취업동향 파악 및 생애경력설계!” 8.9(화)~8.10(수),,2022-08-09,2022-08-10,13:30~16:30,"화요일,수요일",유튜브 라이브방송,무료,(재료비 무료),140,2022-07-14,2022-08-09,,,교육마감,1000002423
34,[청년2030 취업특강] 7.19(화) “NCS 기반 채용트랜드 이해와 그에따른 취업준비 전략”,,2022-07-19,2022-07-19,13:30~16:30,화요일,*유튜브 라이브방송*,무료,(재료비 무료),130,2022-06-13,2022-07-19,20세 ~ 39세,성별 제한없음,교육마감,1000002402
35,[5060세대 취업교육] “5060 신중년 인생 3모작 출발이다!” 7.12(화),,2022-07-12,2022-07-12,13:30~16:30,화요일,유튜브 라이브방송,무료,(재료비 무료),120,2022-06-10,2022-07-12,49세 ~ 99세,성별 제한없음,교육마감,1000002401
36,[청년2030취업심화교육] 6.21(화)~22(수) “준비과정부터 면접까지! 속성으로 완성하는 취업 포인트 특강!”,,2022-06-21,2022-06-22,13:30~16:30,"화요일,수요일",*유튜브 라이브방송*,무료,(재료비 무료),100,2022-05-12,2022-06-21,20세 ~ 39세,성별 제한없음,교육마감,1000002367
37,[4060세대 심화교육] “4060 중장년 재취업 핵심전략!” 6.14(화)~6.15(수),,2022-06-14,2022-06-15,13:30~16:30,"화요일,수요일",유튜브 라이브방송,무료,(재료비 무료),50,2022-05-10,2022-06-14,40세 ~ 99세,성별 제한없음,교육마감,1000002364
38,[2030청년(신입)취업교육] 6.9(목) “청년 취업을 위한 취업전략과 노하우”,,2022-06-09,2022-06-09,13:30~16:30,목요일,*유튜브 라이브방송*,무료,(재료비 무료),50,2022-05-10,2022-06-09,20세 ~ 39세,성별 제한없음,교육마감,1000002365
39,[2030청년(경력) 취업교육] 5.24(화) “슈퍼루키로 업그레이드하기”,,2022-05-24,2022-05-24,13:30~16:30,화요일,*유튜브 라이브방송*,무료,(재료비 무료),50,2022-04-18,2022-05-24,20세 ~ 39세,성별 제한없음,교육마감,1000002356
40,[4050세대 취업교육] “잘 사는 4050 커리어 디자인하기” 이/전직 전략 5.17(화),,2022-05-17,2022-05-17,13:30~16:30,화요일,유튜브 라이브방송,무료,(재료비 무료),50,2022-04-15,2022-05-17,,,교육마감,1000002355
41,[4060세대 심화교육] “4060 이직/전직 성공 전략!” 5.10(화)~5.11(수),,2022-05-10,2022-05-11,13:30~16:30,"화요일,수요일",유튜브 라이브방송,무료,(재료비 무료),50,2022-04-11,2022-05-10,40세 ~ 69세,성별 제한없음,교육마감,1000002348
42,[청년2030 취업특강] 4.14(목) “알잘딱깔센 공공기관 취업”,,2022-04-14,2022-04-14,13:30~16:30,목요일,*유튜브 라이브방송*,무료,(재료비 무료),100,2022-03-15,2022-04-14,20세 ~ 39세,성별 제한없음,교육마감,1000002331
43,[4060세대 취업특강] 함께하는 취업준비 “경력을 돋보이게 하는 취업전략” 4.12(화),,2022-04-12,2022-04-12,13:30~16:30,화요일,유튜브 라이브방송,무료,(재료비 무료),50,2022-03-14,2022-04-12,40세 ~ 69세,성별 제한없음,교육마감,1000002329
44,"[5060세대 취업교육] “Bravo, My Job!” 재진입 전략 3.29(화)",,2022-03-29,2022-03-29,13:30~16:30,화요일,유튜브 라이브방송,무료,(재료비 무료),50,2022-02-22,2022-03-29,50세 ~ 69세,성별 제한없음,교육마감,1000002326
45,[청년2030취업심화교육] 3.22(화)~23(수) “취업! 목표 수립부터 면접 공략까지”,,2022-03-22,2022-03-23,13:30~16:30,"화요일,수요일",*유튜브 라이브방송*,무료,(재료비 무료),50,2022-02-21,2022-03-22,20세 ~ 39세,성별 제한없음,교육마감,1000002325
46,"[청년2030 취업교육] 3.3(목) “자기소개서, 이렇게 준비하면 면접까지 합격”",,2022-03-03,2022-03-03,13:30~16:30,목요일,*유튜브 라이브방송*,무료,(재료비 무료),100,2022-02-09,2022-03-03,20세 ~ 39세,성별 제한없음,교육마감,1000002318
47,[4050세대 취업교육] “호시우보(虎視牛步)” 이/전직 전략 2.22(화) 13:30~16:30,,2022-02-22,2022-02-22,13:30~16:30,화요일,유튜브 라이브방송,무료,(재료비 무료),50,2022-02-07,2022-02-22,40세 ~ 59세,성별 제한없음,교육마감,1000002317
48,"[4060테마취업특강]진단을 통한 자기분석, 노동시장의 변화추세 바로알기",,2021-11-23,2021-11-23,14:00~17:00,화요일,온라인(유튜브),무료,(재료비 무료),50,2021-10-26,2021-11-23,,,교육마감,1000002281
49,[11월9일]공/사기업 기출문제풀이(면접편),,2021-11-09,2021-11-09,14:00~17:00,화요일,유튜브 라이브 방송,무료,(재료비 무료),50,2021-10-18,2021-11-09,20세 ~ 45세,성별 제한없음,교육마감,1000002266
50,[5060세대 취업교육] 신중년 인생2막을 준비하자!,,2021-11-02,2021-11-02,14:00~17:00,화요일,유튜브(온라인),무료,(재료비 무료),50,2021-10-06,2021-11-02,,,교육마감,1000002253
