,Educational Center Name,Purpose of Education,Education Start Date,Education End Date,Education Time,Attendance Qualification,Classroom Information,Education Amount,Material Amount,Capacity,Recruitment Start Date,Recruitment End Date,Age Eligibility,Sex Eligibility,Education Status,Education Sequence
73,청년(2030) 온라인 취업심화교육,,2020-11-24,2020-11-25,14:00~17:00,"화요일,수요일",유튜브(You Tube) 라이브 방송,무료,(재료비 무료),50,2020-11-05,2020-11-24,20세 ~ 39세,성별 제한없음,교육마감,1000002076
74,4060중장년 커리어 역경과 위기극복 프로그램(온라인 유튜브 라이브 방송),커리어 역경과 위기극복 프로그램,2020-11-20,2020-11-20,14:00~17:00,금요일,유튜브 온라인 라이브 방송,무료,(재료비 무료),50,2020-11-06,2020-11-19,40세 ~ 70세,성별 제한없음,교육마감,1000002078
75,10월 22일(목) 현직 대기업 인사담당자와 함께하는 청년(2030) 온라인 면접특강 및 모의면접,,2020-10-22,2020-10-22,14:00~17:00,목요일,구글미트(Goole Meet),무료,(재료비 무료),50,2020-09-29,2020-10-22,20세 ~ 39세,성별 제한없음,교육마감,1000002053
76,[10월 20일~21일] 4060 중장년 온라인 취업심화교육(유튜브 라이브 방송),,2020-10-20,2020-10-21,14:00~17:00,"화요일,수요일",유튜브 온라인 라이브 강의,무료,(재료비 무료),50,2020-09-29,2020-10-20,40세 ~ 69세,성별 제한없음,교육마감,1000002052
77,10월 15일 [온라인] 청년취업특강(2030경력),,2020-10-15,2020-10-15,14:00~17:00,목요일,유투브(You Tube) 라이브 방송,무료,(재료비 무료),50,2020-09-29,2020-10-15,20세 ~ 42세,성별 제한없음,교육마감,1000002051
78,10월 13일 [온라인] 4050 중년 취업준비교육 (유튜브 라이브 방송),,2020-10-13,2020-10-13,14:00~17:00,화요일,유튜브(YOU TUBE)라이브 방송,무료,(재료비 무료),50,2020-09-29,2020-10-13,40세 ~ 59세,성별 제한없음,교육마감,1000002050
79,9월 24일 [온라인] 청년취업특강(2030신입),입사지원서 작성법 배우기 및 면접 노하우 익히기,2020-09-24,2020-09-24,14:00~17:00,목요일,유투브(Yoy Tube) 라이브 방송,무료,(재료비 무료),50,2020-09-09,2020-09-20,20세 ~ 39세,성별 제한없음,교육마감,1000002046
80,[취소- 코로나 확산 방지]2020년 5월 28일 4050취업준비교육,,2020-05-28,2020-05-28,09:30~12:30,목요일,서울일자리센터(서울시청 무교청사),무료,(재료비 무료),20,2020-04-20,2020-05-27,40세 ~ 59세,성별 제한없음,교육마감,1000002015
81,[취소- 코로나 확산 방지]2020년 5월 21일 5060 재진입취업교육,,2020-05-21,2020-05-21,09:30~12:30,목요일,서울일자리센터(서울시청 무교청사),무료,(재료비 무료),20,2020-04-20,2020-05-20,50세 ~ 69세,성별 제한없음,교육마감,1000002014
82,[취소: 코로나 확산 방지]3040 집단상담 프로그램,,2020-05-12,2020-05-14,13:00~17:00,"화요일,수요일,목요일",서울일자리센터 교육장(서울시청 무교별관 3층),무료,(재료비 무료),15,2020-04-20,2020-05-12,29세 ~ 49세,성별 제한없음,교육마감,1000002013
83,3040(경력직) 취업특강,경력자 구직전략 수립/경력기반 입사지원서 작성법,2020-05-07,2020-05-07,13:00~16:00,목요일,서울일자리플러스센터 (서울시청 무교별관 3층),무료,(재료비 무료),20,2020-04-20,2020-05-07,25세 ~ 49세,성별 제한없음,교육마감,1000002012
84,[취소-코로나 확산방지]2020년 3월 31일 5060토크취업특강(효과적인 직업정보 탐색과 지원서류 작성법!),,2020-03-31,2020-03-31,09:30~12:30,화요일,서울일자리센터(서울시청 무교로청사),무료,(재료비 무료),20,2020-02-13,2020-03-27,50세 ~ 69세,성별 제한없음,교육마감,1000002005
85,[취소-코로나 확산방지]2020년 3월 4050취업심화교육(함께 끌어 올리는 취업자신감! 3일간),중장년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2020-03-24,2020-03-26,13:00~17:00,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청 무교별관),무료,(재료비 무료),13,2020-02-13,2020-03-20,40세 ~ 55세,성별 제한없음,교육마감,1000002004
86,[교육취소-코로나 확산방지를 위해 취소합니다] 2020년 3월 5일 청년취업특강(2030경력),청년층(2030)의 채용시장의 이해를 돕고 효과적인 구직시장 접근 전략 및 취업스킬 함양을 통한 취업 지원,2020-03-05,2020-03-05,13:00~16:00,목요일,서울일자리센터 교육장,무료,(재료비 무료),20,2020-02-12,2020-03-02,20세 ~ 39세,성별 제한없음,교육마감,1000002003
87,2020년 2월 27일 4050토크취업특강(4050세대 채용트렌드 분석과 지원서류 작성법),,2020-02-27,2020-02-27,09:30~12:30,목요일,서울일자리센터(서울시청 무교로청사),무료,(재료비 무료),20,2020-01-28,2020-02-26,40세 ~ 59세,성별 제한없음,교육마감,1000001988
88,2020년 2월 25일 청년취업특강(2030신입),청년층 채용동향 이슈 파악 및 직무역량 도출을 통한 자기소개서 작성,2020-02-25,2020-02-25,13:00~16:00,화요일,서울일자리센터 교육장,무료,(재료비 무료),20,2020-01-28,2020-02-21,20세 ~ 39세,성별 제한없음,교육마감,1000001987
89,2019년 11월 12일 4050취업준비교육,,2019-11-12,2019-11-12,09:30~12:30,화요일,서울일자리센터(서울시청 무교로청사),무료,(재료비 무료),20,2019-10-16,2019-11-08,40세 ~ 54세,성별 제한없음,교육마감,1000001946
90,[청년] 2019년 11월 5일~7일 청년 집단상담 프로그램 : 분석과 통합을 통한 청년 취업역량 마스터 프로그램,미취업청년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2019-11-05,2019-11-07,13:00~17:00,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),15,2019-10-08,2019-11-04,20세 ~ 34세,성별 제한없음,교육마감,1000001933
91,2019년 10월 5060취업심화교육 : 신(新)중년의 내:일(FUTURE:MY JOB) 찾기,중장년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2019-10-29,2019-10-31,13:30~17:30,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),13,2019-09-18,2019-10-27,50세 ~ 64세,성별 제한없음,교육마감,1000001916
92,10월 청년취업특강,구직자 취업역량 강화를 통한 취업성공률 향상,2019-10-17,2019-10-17,13:00~16:00,목요일,서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),20,2019-09-18,2019-10-16,20세 ~ 34세,성별 제한없음,교육마감,1000001917
93,2019년 10월 15일 5060취업준비교육,구직자 취업역량 강화를 통한 취업성공률 향상,2019-10-15,2019-10-15,09:30~12:30,화요일,서울일자리센터(서울시청 무교로 청사),무료,(재료비 무료),20,2019-09-18,2019-10-13,50세 ~ 64세,성별 제한없음,교육마감,1000001915
94,9월 청년취업특강,구직자 취업역량 강화를 통한 취업성공률 향상,2019-09-26,2019-09-26,13:00~16:00,목요일,서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),20,2019-08-16,2019-09-25,20세 ~ 39세,성별 제한없음,교육마감,1000001900
95,[청년] 2019년 9월 17일~19일 청년 집단상담 프로그램 : 취업 노마드 종착역,미취업청년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2019-09-17,2019-09-19,13:00~17:00,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),15,2019-08-16,2019-09-16,20세 ~ 34세,성별 제한없음,교육마감,1000001898
96,2019년 9월 5일 5060취업준비교육,구직자 취업역량 강화를 통한 취업성공률 향상,2019-09-05,2019-09-05,09:30~12:30,목요일,서울일자리센터(서울시청 무교로 청사),무료,(재료비 무료),20,2019-08-16,2019-09-04,50세 ~ 64세,성별 제한없음,교육마감,1000001897
97,2019년 8월 4050취업심화교육 : 리스타트(Re:Start),중장년들의 자기이해 및 구직역량 강화를 통한 취업성공률 향상,2019-08-20,2019-08-22,13:30~17:30,"화요일,수요일,목요일",서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),13,2019-07-17,2019-08-19,40세 ~ 54세,성별 제한없음,교육마감,1000001881
98,8월 청년취업특강,구직자 취업역량 강화를 통한 취업성공률 향상,2019-08-06,2019-08-06,13:00~16:00,화요일,서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),20,2019-07-17,2019-08-05,20세 ~ 34세,성별 제한없음,교육마감,1000001880
99,7월 청년모의면접,면접역량 강화를 통해 취업성공률을 높이고자 함,2019-07-25,2019-07-25,13:00~16:00,목요일,서울일자리센터 3층 교육장(서울시청무교별관),무료,(재료비 무료),15,2019-07-10,2019-07-24,20세 ~ 34세,성별 제한없음,교육마감,1000001870
